Division,Line,Station Name,Entrance Type,Vending,Staffing,Entrance Latitude,Entrance Longitude
BMT,4 Avenue,25th St,Stair,YES,FULL,40.660323,-73.997952
BMT,4 Avenue,25th St,Stair,YES,NONE,40.660489,-73.99822
BMT,4 Avenue,36th St,Stair,YES,FULL,40.65449,-74.004499
BMT,4 Avenue,36th St,Stair,YES,FULL,40.654365,-74.004113
BMT,4 Avenue,36th St,Stair,YES,FULL,40.654676,-74.004306
BMT,4 Avenue,45th St,Stair,YES,FULL,40.649389,-74.009333
BMT,4 Avenue,45th St,Stair,YES,FULL,40.649424,-74.009728
BMT,4 Avenue,45th St,Stair,YES,FULL,40.649265,-74.009457
BMT,4 Avenue,45th St,Stair,YES,FULL,40.649546,-74.009602
BMT,4 Avenue,53rd St,Stair,YES,FULL,40.644653,-74.01469
BMT,4 Avenue,53rd St,Stair,YES,FULL,40.644493,-74.014419
BMT,4 Avenue,53rd St,Stair,YES,FULL,40.644756,-74.014586
BMT,4 Avenue,53rd St,Stair,YES,FULL,40.644601,-74.014309
BMT,4 Avenue,53rd St,Stair,NO,NONE,40.645619,-74.013688
BMT,4 Avenue,59th St,Stair,YES,FULL,40.641606,-74.017897
BMT,4 Avenue,59th St,Stair,YES,FULL,40.641435,-74.017561
BMT,4 Avenue,59th St,Stair,YES,FULL,40.641778,-74.017722
BMT,4 Avenue,59th St,Stair,YES,FULL,40.641633,-74.017362
BMT,4 Avenue,59th St,Stair,YES,NONE,40.640682,-74.018857
BMT,4 Avenue,59th St,Stair,YES,NONE,40.640501,-74.018531
BMT,4 Avenue,77th St,Stair,YES,FULL,40.62955,-74.025731
BMT,4 Avenue,77th St,Stair,YES,FULL,40.629503,-74.025452
BMT,4 Avenue,77th St,Stair,NO,NONE,40.630221,-74.025459
BMT,4 Avenue,86th St,Stair,YES,FULL,40.622656,-74.028547
BMT,4 Avenue,86th St,Stair,YES,FULL,40.622583,-74.028315
BMT,4 Avenue,86th St,Stair,YES,NONE,40.623498,-74.028204
BMT,4 Avenue,95th St,Stair,YES,FULL,40.616021,-74.031383
BMT,4 Avenue,95th St,Stair,YES,FULL,40.615893,-74.03086
BMT,4 Avenue,95th St,Stair,YES,FULL,40.616189,-74.031234
BMT,4 Avenue,95th St,Stair,YES,NONE,40.617587,-74.030696
BMT,4 Avenue,95th St,Stair,YES,NONE,40.617363,-74.030404
BMT,4 Avenue,9th St,Stair,YES,FULL,40.670387,-73.98848
BMT,4 Avenue,9th St,Stair,NO,NONE,40.670538,-73.988778
BMT,4 Avenue,Atlantic Av-Barclays Ctr,Elevator,YES,FULL,40.683805,-73.978487
BMT,4 Avenue,Bay Ridge Av,Stair,YES,FULL,40.634827,-74.02358
BMT,4 Avenue,Bay Ridge Av,Stair,YES,FULL,40.634768,-74.023339
BMT,4 Avenue,Bay Ridge Av,Stair,NO,NONE,40.635468,-74.023313
BMT,4 Avenue,DeKalb Av,Elevator,YES,FULL,40.689804,-73.981164
BMT,4 Avenue,DeKalb Av,Stair,YES,FULL,40.68981,-73.981651
BMT,4 Avenue,DeKalb Av,Stair,YES,FULL,40.689817,-73.981082
BMT,4 Avenue,DeKalb Av,Stair,YES,FULL,40.68974,-73.981156
BMT,4 Avenue,DeKalb Av,Easement,YES,NONE,40.69154,-73.982565
BMT,4 Avenue,DeKalb Av,Stair,YES,NONE,40.691562,-73.982048
BMT,4 Avenue,Pacific St,Stair,YES,FULL,40.683905,-73.978879
BMT,4 Avenue,Pacific St,Stair,YES,FULL,40.683928,-73.978412
BMT,4 Avenue,Prospect Av,Stair,YES,FULL,40.665299,-73.992729
BMT,4 Avenue,Prospect Av,Stair,YES,FULL,40.665058,-73.993002
BMT,4 Avenue,Prospect Av,Stair,YES,NONE,40.665269,-73.993245
BMT,4 Avenue,Union St,Stair,YES,FULL,40.677001,-73.983133
BMT,4 Avenue,Union St,Stair,YES,FULL,40.677279,-73.983327
BMT,4 Avenue,Union St,Stair,YES,FULL,40.677171,-73.98302
BMT,4 Avenue,Union St,Stair,YES,NONE,40.677135,-73.983416
IRT,42nd St Shuttle,Grand Central,Easement,YES,NONE,40.75283,-73.978917
IRT,42nd St Shuttle,Grand Central,Easement,YES,NONE,40.752218,-73.978396
IRT,42nd St Shuttle,Grand Central,Easement,YES,NONE,40.752279,-73.97828
IRT,42nd St Shuttle,Grand Central,Easement,YES,NONE,40.752717,-73.978487
IRT,42nd St Shuttle,Grand Central,Escalator,YES,NONE,40.752184,-73.978048
IRT,42nd St Shuttle,Grand Central,Easement,NO,NONE,40.752846,-73.979798
IRT,42nd St Shuttle,Grand Central,Stair,NO,NONE,40.753087,-73.979537
IRT,42nd St Shuttle,Times Square,Stair,YES,NONE,40.756476,-73.986311
IND,6 Avenue,14th St,Stair,YES,FULL,40.737423,-73.99722
IND,6 Avenue,14th St,Stair,YES,FULL,40.737572,-73.997111
IND,6 Avenue,14th St,Stair,YES,FULL,40.737519,-73.99697
IND,6 Avenue,14th St,Stair,YES,FULL,40.73737,-73.997079
